"","X.1","X","gbifID","kingdom","phylum","class","order","family","genus","species","taxonRank","stateProvince","countryCode","occurrenceStatus","day","month","year","geometry","raster_label"
"40",415,40090,3902029377,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Clepsis","Clepsis consimilana","SPECIES","Washington","US","PRESENT",9,7,2020,c(547225.560363881, 5283018.73013186),"Building"
"41",418,40186,2851147287,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",17,8,2020,c(547077.422444118, 5282919.60811644),"Grass/Shrub"
"42",421,40350,4171351507,"Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Antheraea","Antheraea polyphemus","SPECIES","Washington","US","PRESENT",13,4,2023,c(546614.617340188, 5263139.55742413),"Tree Canopy"
"43",445,42423,3889268484,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",5,8,2022,c(555640.62471859, 5281322.81609125),"Grass/Shrub"
"44",452,42964,4137735123,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa argentata","SPECIES","Washington","US","PRESENT",16,6,2023,c(546001.302490662, 5267214.43456112),"Building"
"45",455,43117,3337717635,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Sabulodes","Sabulodes aegrotata","SPECIES","Washington","US","PRESENT",10,8,2021,c(546403.281663975, 5263499.9806385),"Tree Canopy"
"46",490,46205,4028616445,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",20,7,2021,c(547228.208095478, 5283025.30930233),"Building"
"47",502,47028,4453838465,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pyrrharctia","Pyrrharctia isabella","SPECIES","Washington","US","PRESENT",25,11,2023,c(543607.346749834, 5278832.95368505),"Tree Canopy"
"48",504,47191,2813880934,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea amputatrix","SPECIES","Washington","US","PRESENT",26,6,2020,c(547224.45661379, 5283016.05364251),"Building"
"49",505,48020,4137583823,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",26,5,2023,c(556324.975766519, 5260514.8367155),"Unclassified"
"50",511,48345,4855189521,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris marginalis","SPECIES","Washington","US","PRESENT",22,4,2024,c(545483.769836258, 5264204.95966143),"Tree Canopy"
"51",520,49750,3892511332,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",6,8,2020,c(547236.357200555, 5283019.7070458),"Tree Canopy"
"52",530,50545,4121221928,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae","SPECIES","Washington","US","PRESENT",16,5,2023,c(550125.705495786, 5279777.29015412),"Building"
"53",531,50573,4130012760,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis antiopa","SPECIES","Washington","US","PRESENT",18,5,2023,c(556033.341694162, 5280674.69768197),"Tree Canopy"
"54",573,54912,3911998357,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Xanthorhoe","Xanthorhoe labradorensis","SPECIES","Washington","US","PRESENT",19,6,2020,c(547236.212563783, 5283019.03899004),"Tree Canopy"
"55",595,56933,4145179664,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",1,7,2023,c(549254.880776313, 5276718.10468631),"Building"
"56",621,59675,4424188921,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",9,7,2023,c(558203.652842298, 5271149.87627031),"Unclassified"
"57",630,60294,2963757442,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Neoalcis","Neoalcis californiaria","SPECIES","Washington","US","PRESENT",10,9,2020,c(547225.577595578, 5283025.84366094),"Tree Canopy"
"58",652,63054,2823297247,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hemithea","Hemithea aestivaria","SPECIES","Washington","US","PRESENT",20,7,2020,c(553902.495146851, 5282652.89844983),"Tree Canopy"
"59",661,63778,3746990410,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Pyrausta","Pyrausta californicalis","SPECIES","Washington","US","PRESENT",15,6,2021,c(547157.762985039, 5281830.68958668),"Tree Canopy"
"60",665,64171,3881374246,"Animalia","Arthropoda","Insecta","Lepidoptera","Autostichidae","Oegoconia","Oegoconia quadripuncta","SPECIES","Washington","US","PRESENT",29,7,2022,c(547230.385717567, 5283025.10470474),"Grass/Shrub"
"61",681,65503,3902064541,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Aglossa","Aglossa pinguinalis","SPECIES","Washington","US","PRESENT",14,7,2020,c(547238.010530939, 5283019.38704321),"Tree Canopy"
"62",683,65554,2963764425,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Neoalcis","Neoalcis californiaria","SPECIES","Washington","US","PRESENT",28,8,2020,c(547236.867945406, 5283021.48954417),"Tree Canopy"
"63",686,65906,3302073936,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Celastrina","Celastrina ladon","SPECIES","Washington","US","PRESENT",9,6,2021,c(545349.136746389, 5264268.4878112),"Tree Canopy"
"64",693,66568,3889198099,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Dargida","Dargida procinctus","SPECIES","Washington","US","PRESENT",4,8,2022,c(545601.929723782, 5267573.18608118),"Building"
"65",728,69351,3097034601,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae","SPECIES","Washington","US","PRESENT",14,4,2021,c(549155.105335745, 5278259.74970279),"Tree Canopy"
"66",733,69498,3398662757,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris rapae","SPECIES","Washington","US","PRESENT",11,8,2021,c(547486.007636592, 5285982.03170098),"Tree Canopy"
"67",735,69599,3408126798,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pyrrharctia","Pyrrharctia isabella","SPECIES","Washington","US","PRESENT",30,10,2021,c(552982.696912628, 5278090.82092836),"Grass/Shrub"
"68",740,69773,3889039502,"Animalia","Arthropoda","Insecta","Lepidoptera","Autostichidae","Oegoconia","Oegoconia quadripuncta","SPECIES","Washington","US","PRESENT",27,7,2022,c(547226.452574682, 5283019.73770197),"Building"
"69",746,70475,3113443387,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",1,9,2020,c(547680.31698588, 5280815.73772762),"Building"
"70",774,72860,2823152929,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Euphyia","Euphyia intermediata","SPECIES","Washington","US","PRESENT",19,7,2020,c(553910.126317529, 5282639.18678644),"Tree Canopy"
"71",779,73491,2823184321,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea","Idaea dimidiata","SPECIES","Washington","US","PRESENT",21,7,2020,c(547227.234535995, 5283025.07909783),"Building"
"72",810,76175,3032022947,"Animalia","Arthropoda","Insecta","Lepidoptera","Alucitidae","Alucita","Alucita montana","SPECIES","Washington","US","PRESENT",15,1,2021,c(547225.182513623, 5283019.06050174),"Building"
"73",812,76250,4054962367,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Clepsis","Clepsis consimilana","SPECIES","Washington","US","PRESENT",21,6,2021,c(547237.623647005, 5283020.82880594),"Tree Canopy"
"74",814,76934,3398657632,"Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Synanthedon","Synanthedon albicornis","SPECIES","Washington","US","PRESENT",30,5,2021,c(551940.551303938, 5276171.58881767),"Tree Canopy"
"75",834,79318,4453933485,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","","GENUS","Washington","US","PRESENT",20,11,2023,c(555126.895291039, 5280439.51475897),"Tree Canopy"
"76",839,79760,4055041368,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Aglossa","Aglossa pinguinalis","SPECIES","Washington","US","PRESENT",27,6,2021,c(547226.225683913, 5283019.95815173),"Building"
"77",840,79773,4034659369,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Vitula","Vitula serratilineella","SPECIES","Washington","US","PRESENT",8,7,2021,c(547237.811696083, 5283025.38734936),"Tree Canopy"
"78",849,81019,3325804892,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",3,7,2021,c(554569.801478506, 5282871.41925562),"Road"
"79",874,82779,4130068397,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",3,6,2023,c(555259.446020036, 5262401.70886442),"Tree Canopy"
"80",882,83511,3337386145,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",12,8,2021,c(546970.633663674, 5282847.16571332),"Grass/Shrub"
"81",902,84562,4407182655,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Clepsis","Clepsis consimilana","SPECIES","Washington","US","PRESENT",3,7,2023,c(547170.839919988, 5284998.81172),"Tree Canopy"
"82",913,85497,3902002505,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctua","Noctua comes","SPECIES","Washington","US","PRESENT",15,7,2020,c(547226.532118319, 5283019.1826148),"Building"
"83",931,86757,4416684424,"Animalia","Arthropoda","Insecta","Lepidoptera","Nepticulidae","Stigmella","Stigmella microtheriella","SPECIES","Washington","US","PRESENT",27,9,2022,c(548100.89847958, 5277026.33592854),"Tree Canopy"
"84",957,89032,4171173147,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",25,7,2023,c(545842.052017018, 5264928.40946034),"Tree Canopy"
"85",967,89586,4138301885,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Leucoma","Leucoma salicis","SPECIES","Washington","US","PRESENT",21,6,2023,c(555139.244211526, 5280459.30512132),"Road"
"86",969,90008,3912160350,"Animalia","Arthropoda","Insecta","Lepidoptera","Blastobasidae","Asaphocrita","Asaphocrita aphidiella","SPECIES","Washington","US","PRESENT",17,6,2020,c(547230.303464143, 5283025.99320996),"Grass/Shrub"
"87",972,90245,3118486657,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Tyria","Tyria jacobaeae","SPECIES","Washington","US","PRESENT",19,5,2021,c(555796.371763085, 5281025.31753977),"Tree Canopy"
"88",976,90624,3888968503,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",27,7,2022,c(547225.398567595, 5283020.17372432),"Building"
"89",978,90948,4162565745,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",16,7,2023,c(556811.103070995, 5277167.37890878),"Unclassified"
"90",1006,94175,3383850041,"Animalia","Arthropoda","Insecta","Lepidoptera","Alucitidae","Alucita","Alucita montana","SPECIES","Washington","US","PRESENT",19,8,2021,c(547226.156074195, 5283019.29070588),"Building"
"91",1040,96977,2823101452,"Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Synanthedon","Synanthedon tipuliformis","SPECIES","Washington","US","PRESENT",27,5,2020,c(548543.376923878, 5280384.18138547),"Tree Canopy"
"92",1049,97565,4102601420,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",18,7,2022,c(547230.98413628, 5283025.33186117),"Grass/Shrub"
"93",1062,99412,4851919383,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris marginalis","SPECIES","Washington","US","PRESENT",19,4,2024,c(545482.1726734, 5264197.38952024),"Tree Canopy"
"94",1070,99814,3330852480,"Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Nadata","Nadata gibbosa","SPECIES","Washington","US","PRESENT",21,7,2021,c(545073.731241894, 5264216.67721648),"Road"
"95",1103,103488,3902003468,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Endrosis","Endrosis sarcitrella","SPECIES","Washington","US","PRESENT",11,7,2020,c(547227.982107973, 5283025.41861266),"Building"
"96",1113,104344,4133784762,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa argentata","SPECIES","Washington","US","PRESENT",12,6,2023,c(547266.890140512, 5283149.55236345),"Building"
"97",1114,104349,4138551353,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Pasiphila","Pasiphila rectangulata","SPECIES","Washington","US","PRESENT",15,6,2023,c(547227.382786048, 5283025.3025959),"Building"
"98",1116,104526,4424250954,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pyrrharctia","Pyrrharctia isabella","SPECIES","Washington","US","PRESENT",21,9,2023,c(547719.77770757, 5283688.98147754),"Tree Canopy"
"99",1134,106010,2850872340,"Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Clepsis","Clepsis consimilana","SPECIES","Washington","US","PRESENT",4,8,2020,c(547236.651893678, 5283020.37632114),"Tree Canopy"
"100",1141,106792,4405247444,"Animalia","Arthropoda","Insecta","Lepidoptera","Plutellidae","Plutella","Plutella xylostella","SPECIES","Washington","US","PRESENT",26,6,2023,c(547229.558601814, 5283025.32027673),"Building"
"101",1144,106934,4414352055,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Triphosa","Triphosa haesitata","SPECIES","Washington","US","PRESENT",18,9,2023,c(546108.692342145, 5267668.41388486),"Building"
"102",1151,107784,3355669521,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",2,9,2021,c(555194.900194224, 5281247.09966585),"Road"
"103",1175,110898,4046463282,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lophocampa","Lophocampa argentata","SPECIES","Washington","US","PRESENT",27,2,2023,c(544635.265131032, 5282404.85167991),"Tree Canopy"
"104",1258,118589,2823315901,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",18,7,2020,c(547231.814864849, 5283024.6717319),"Tree Canopy"
"105",1259,118598,2823205451,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",21,7,2020,c(547237.693255386, 5283021.49625194),"Tree Canopy"
"106",1263,118856,3335414707,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes sylvanoides","SPECIES","Washington","US","PRESENT",30,7,2021,c(545831.727183772, 5267769.48618081),"Tree Canopy"
"107",1267,119313,3079630394,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Feralia","Feralia deceptiva","SPECIES","Washington","US","PRESENT",2,4,2021,c(555662.595393226, 5286407.78049497),"Unclassified"
"108",1328,124544,4424532520,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrochola","Agrochola bicolorago","SPECIES","Washington","US","PRESENT",18,9,2022,c(544692.834883144, 5282178.55641902),"Road"
"109",1331,124803,4413884327,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Udea","Udea profundalis","SPECIES","Washington","US","PRESENT",6,9,2023,c(547231.430692327, 5283025.78007695),"Tree Canopy"
"110",1332,125047,2803116823,"Animalia","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Hofmannophila","Hofmannophila pseudospretella","SPECIES","Washington","US","PRESENT",19,6,2020,c(547222.773483754, 5283020.04124802),"Tree Canopy"
"111",1348,127246,4420767684,"Animalia","Arthropoda","Insecta","Lepidoptera","Sesiidae","Synanthedon","Synanthedon bibionipennis","SPECIES","Washington","US","PRESENT",28,7,2023,c(547099.938840355, 5266818.84908755),"Tree Canopy"
"112",1357,128098,3902742331,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis","Limenitis lorquini","SPECIES","Washington","US","PRESENT",23,8,2022,c(552932.917464222, 5278246.53036369),"Tree Canopy"
"113",1362,128438,4413808704,"Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Marmara","Marmara arbutiella","SPECIES","Washington","US","PRESENT",9,9,2023,c(545287.140578462, 5264050.83417337),"Road"
"114",1380,130196,2882989410,"Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Gracillaria","Gracillaria syringella","SPECIES","Washington","US","PRESENT",18,7,2020,c(547234.554776233, 5283029.13986714),"Tree Canopy"
"115",1387,131045,4137920148,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilosoma","Spilosoma virginica","SPECIES","Washington","US","PRESENT",17,6,2023,c(546846.25746873, 5275026.7163636),"Grass/Shrub"
"116",1389,131264,4453745207,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","","GENUS","Washington","US","PRESENT",23,11,2023,c(553338.60301228, 5270395.47546065),"Building"
"117",1390,131625,3117867938,"Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio rutulus","SPECIES","Washington","US","PRESENT",15,5,2021,c(550456.387590804, 5285598.16924814),"Tree Canopy"
"118",1393,132275,4405228634,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Aglossa","Aglossa pinguinalis","SPECIES","Washington","US","PRESENT",23,6,2023,c(547224.861630495, 5283021.6142686),"Building"
"119",1395,132348,4171473475,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Apamea amputatrix","SPECIES","Washington","US","PRESENT",24,7,2023,c(547231.159481494, 5283022.22117834),"Tree Canopy"
"120",1426,136251,4506509433,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","","GENUS","Washington","US","PRESENT",23,12,2023,c(547230.384814404, 5283025.2158441),"Grass/Shrub"
"121",1435,137716,3873140336,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Noctua","Noctua pronuba","SPECIES","Washington","US","PRESENT",9,7,2022,c(550560.881333103, 5279427.6080922),"Building"
